t,x,y,z
1782661502.283,0.00000,0.00000,0.00000
1782661502.449,0.00095,-0.00166,-0.00084
1782661502.516,0.00139,-0.00213,-0.00127
1782661502.549,0.00140,-0.00197,-0.00112
1782661502.583,0.00076,-0.00134,-0.00102
1782661502.616,0.00051,-0.00073,-0.00100
1782661502.649,0.00087,-0.00011,-0.00038
1782661502.716,0.00083,0.00009,-0.00030
1782661502.749,0.00083,0.00009,-0.00030
1782661502.783,0.00083,0.00009,-0.00030
1782661502.816,0.00000,0.00018,0.00005
1782661502.849,0.00013,0.00016,0.00020
1782661502.883,0.00013,0.00016,0.00020
1782661502.916,0.00013,0.00016,0.00020
1782661502.949,0.00013,0.00016,0.00020
1782661502.983,0.00013,0.00016,0.00020
1782661503.016,0.00013,0.00016,0.00020
1782661503.050,0.00013,0.00016,0.00020
1782661503.083,0.00013,0.00016,0.00020
1782661503.116,0.00013,0.00016,0.00020
1782661503.150,0.00013,0.00016,0.00020
1782661503.183,0.00013,0.00016,0.00020
1782661503.250,0.00013,0.00016,0.00020
1782661503.283,0.00013,0.00016,0.00020
1782661503.316,0.00013,0.00016,0.00020
1782661503.416,0.00013,0.00016,0.00020
1782661503.450,0.00013,0.00016,0.00020
1782661503.483,0.00013,0.00016,0.00020
1782661503.550,0.00013,0.00016,0.00020
1782661503.583,0.00013,0.00016,0.00020
1782661503.616,0.00013,0.00016,0.00020
1782661503.650,0.00013,0.00016,0.00020
1782661503.683,0.00013,0.00016,0.00020
1782661503.716,0.00013,0.00016,0.00020
1782661503.783,0.00013,0.00016,0.00020
1782661503.850,0.00013,0.00016,0.00020
1782661503.883,0.00013,0.00016,0.00020
1782661503.917,0.00013,0.00016,0.00020
1782661503.950,0.00013,0.00016,0.00020
1782661503.983,0.00013,0.00016,0.00020
1782661504.017,0.00013,0.00016,0.00020
1782661504.050,0.00013,0.00016,0.00020
1782661504.083,0.00013,0.00016,0.00020
1782661504.117,0.00013,0.00016,0.00020
1782661504.150,0.00013,0.00016,0.00020
1782661504.183,0.00013,0.00016,0.00020
1782661504.217,0.00013,0.00016,0.00020
1782661504.250,0.00013,0.00016,0.00020
1782661504.284,0.00013,0.00016,0.00020
1782661504.317,0.00013,0.00016,0.00020
1782661504.350,0.00013,0.00016,0.00020
1782661504.417,0.00013,0.00016,0.00020
1782661504.484,0.00013,0.00016,0.00020
1782661504.517,0.00013,0.00016,0.00020
1782661504.551,0.00013,0.00016,0.00020
1782661504.584,0.00013,0.00016,0.00020
1782661504.651,0.00013,0.00016,0.00020
1782661504.684,0.00013,0.00016,0.00020
1782661504.718,0.00013,0.00016,0.00020
1782661504.751,0.00013,0.00016,0.00020
1782661504.784,0.00013,0.00016,0.00020
1782661504.818,0.00013,0.00016,0.00020
1782661504.851,0.00013,0.00016,0.00020
1782661504.885,0.00013,0.00016,0.00020
1782661504.918,0.00013,0.00016,0.00020
1782661504.985,0.00013,0.00016,0.00020
1782661505.052,0.00013,0.00016,0.00020
1782661505.085,0.00013,0.00016,0.00020
1782661505.119,0.00013,0.00016,0.00020
1782661505.152,0.00013,0.00016,0.00020
1782661505.185,0.00013,0.00016,0.00020
1782661505.219,0.00013,0.00016,0.00020
1782661505.252,0.00013,0.00016,0.00020
1782661505.286,0.00013,0.00016,0.00020
1782661505.319,0.00013,0.00016,0.00020
1782661505.386,0.00013,0.00016,0.00020
1782661505.419,0.00080,-0.00103,0.00022
1782661505.453,0.00080,-0.00103,0.00022
1782661505.486,0.00080,-0.00103,0.00022
1782661505.520,0.00080,-0.00103,0.00022
1782661505.553,0.00080,-0.00103,0.00022
1782661505.587,0.00080,-0.00103,0.00022
1782661505.653,0.00080,-0.00103,0.00022
1782661505.687,0.00080,-0.00103,0.00022
1782661505.720,0.00080,-0.00103,0.00022
1782661505.754,0.00080,-0.00103,0.00022
1782661505.787,0.00080,-0.00103,0.00022
